Aircraft,Registration,Base,FlightNo,Day,From,To,DepTime,ArrTime,BlockHrs,Notes
787-1,BL-WBA,SCI,AB111,Mon,SCI,AMP,13:00,00:00+1,11.0,Ampuria 3x daily (midday) — premium 787 config
787-1,BL-WBA,SCI,AB112,Mon,AMP,SCI,01:00,12:00,11.0,Ampuria 3x daily (midday return) — 1h turn at SCI
787-1,BL-WBA,SCI,AB111,Tue,SCI,AMP,13:00,00:00+1,11.0,Ampuria 3x daily (midday) — premium 787 config
787-1,BL-WBA,SCI,AB112,Tue,AMP,SCI,01:00,12:00,11.0,Ampuria 3x daily (midday return) — 1h turn at SCI
787-1,BL-WBA,SCI,AB111,Wed,SCI,AMP,13:00,00:00+1,11.0,Ampuria 3x daily (midday) — premium 787 config
787-1,BL-WBA,SCI,AB112,Wed,AMP,SCI,01:00,12:00,11.0,Ampuria 3x daily (midday return) — 1h turn at SCI
787-1,BL-WBA,SCI,AB111,Thu,SCI,AMP,13:00,00:00+1,11.0,Ampuria 3x daily (midday) — premium 787 config
787-1,BL-WBA,SCI,AB112,Thu,AMP,SCI,01:00,12:00,11.0,Ampuria 3x daily (midday return) — 1h turn at SCI
787-1,BL-WBA,SCI,AB111,Fri,SCI,AMP,13:00,00:00+1,11.0,Ampuria 3x daily (midday) — premium 787 config
787-1,BL-WBA,SCI,AB112,Fri,AMP,SCI,01:00,12:00,11.0,Ampuria 3x daily (midday return) — 1h turn at SCI
787-1,BL-WBA,SCI,AB111,Sat,SCI,AMP,13:00,00:00+1,11.0,Ampuria 3x daily (midday) — premium 787 config
787-1,BL-WBA,SCI,AB112,Sat,AMP,SCI,01:00,12:00,11.0,Ampuria 3x daily (midday return) — 1h turn at SCI
787-1,BL-WBA,SCI,AB111,Sun,SCI,AMP,13:00,00:00+1,11.0,Ampuria 3x daily (midday) — premium 787 config
787-1,BL-WBA,SCI,AB112,Sun,AMP,SCI,01:00,12:00,11.0,Ampuria 3x daily (midday return) — 1h turn at SCI
787-2,BL-WBB,SCI,AB113,Mon,SCI,AMP,19:00,06:00+1,11.0,Ampuria 3x daily (evening) — premium 787 config
787-2,BL-WBB,SCI,AB114,Mon,AMP,SCI,07:00,18:00,11.0,Ampuria 3x daily (evening return) — 1h turn at SCI
787-2,BL-WBB,SCI,AB113,Tue,SCI,AMP,19:00,06:00+1,11.0,Ampuria 3x daily (evening) — premium 787 config
787-2,BL-WBB,SCI,AB114,Tue,AMP,SCI,07:00,18:00,11.0,Ampuria 3x daily (evening return) — 1h turn at SCI
787-2,BL-WBB,SCI,AB113,Wed,SCI,AMP,19:00,06:00+1,11.0,Ampuria 3x daily (evening) — premium 787 config
787-2,BL-WBB,SCI,AB114,Wed,AMP,SCI,07:00,18:00,11.0,Ampuria 3x daily (evening return) — 1h turn at SCI
787-2,BL-WBB,SCI,AB113,Thu,SCI,AMP,19:00,06:00+1,11.0,Ampuria 3x daily (evening) — premium 787 config
787-2,BL-WBB,SCI,AB114,Thu,AMP,SCI,07:00,18:00,11.0,Ampuria 3x daily (evening return) — 1h turn at SCI
